Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,elementId,processId,resourceCost,resourceId
190,End,,2025-01-26 12:00:42.543,2025-01-26 12:00:42.543,Variant 1,1,Event_11w9bbq,Process_1fs5yg9,,
194,Start,,2025-01-25 06:25:00.000,2025-01-25 06:25:00.000,Variant 10,10,Event_0frlo4p,Process_1fs5yg9,,
194,Activity A,cross_trained_employee-000009,2025-01-25 06:25:00.000,2025-01-25 13:01:54.410,Variant 10,10,Activity_1b1ad30,Process_1fs5yg9,99.22670833333333,QBP_DEFAULT_RESOURCE
194,Activity B,cross_trained_employee-000008,2025-01-25 13:01:54.410,2025-01-25 13:10:11.581,Variant 10,10,Activity_0ostlyd,Process_1fs5yg9,2.0715458333333334,QBP_DEFAULT_RESOURCE
194,Activity D,cross_trained_employee-000005,2025-01-25 13:10:11.581,2025-01-25 14:08:31.683,Variant 10,10,Activity_1eot9rf,Process_1fs5yg9,14.583758333333334,QBP_DEFAULT_RESOURCE
194,Activity H,cross_trained_employee-000009,2025-01-25 14:08:31.683,2025-01-25 20:55:38.909,Variant 10,10,Activity_1xsbmdj,Process_1fs5yg9,101.78010833333332,QBP_DEFAULT_RESOURCE
194,Activity I,cross_trained_employee-000006,2025-01-25 20:55:38.909,2025-01-25 22:00:34.604,Variant 10,10,Activity_1kt83un,Process_1fs5yg9,16.2320625,QBP_DEFAULT_RESOURCE
194,Activity J,cross_trained_employee-000008,2025-01-25 22:00:34.604,2025-01-26 04:18:51.245,Variant 10,10,Activity_0k8rmwo,Process_1fs5yg9,94.3193375,QBP_DEFAULT_RESOURCE
194,End,,2025-01-26 04:18:51.245,2025-01-26 04:18:51.245,Variant 10,10,Event_11w9bbq,Process_1fs5yg9,,
198,Start,,2025-01-25 18:25:00.000,2025-01-25 18:25:00.000,Variant 6,6,Event_0frlo4p,Process_1fs5yg9,,
198,Activity A,cross_trained_employee-000002,2025-01-25 18:25:00.000,2025-01-26 00:00:57.859,Variant 6,6,Activity_1b1ad30,Process_1fs5yg9,83.99107916666667,QBP_DEFAULT_RESOURCE
198,Activity B,cross_trained_employee-000007,2025-01-26 00:00:57.859,2025-01-26 00:54:38.218,Variant 6,6,Activity_0ostlyd,Process_1fs5yg9,13.418162500000001,QBP_DEFAULT_RESOURCE
198,Activity D,cross_trained_employee-000002,2025-01-26 00:54:38.218,2025-01-26 02:09:58.957,Variant 6,6,Activity_1eot9rf,Process_1fs5yg9,18.586412499999998,QBP_DEFAULT_RESOURCE
198,Activity G,cross_trained_employee-000003,2025-01-26 02:09:58.957,2025-01-26 05:07:35.716,Variant 6,6,Activity_0oz9vlx,Process_1fs5yg9,44.4031625,QBP_DEFAULT_RESOURCE
198,Activity I,cross_trained_employee-000010,2025-01-26 05:07:35.716,2025-01-26 11:48:15.240,Variant 6,6,Activity_1kt83un,Process_1fs5yg9,100.16468333333334,QBP_DEFAULT_RESOURCE
198,Activity J,cross_trained_employee-000007,2025-01-26 11:48:15.240,2025-01-26 14:38:54.570,Variant 6,6,Activity_0k8rmwo,Process_1fs5yg9,42.663875000000004,QBP_DEFAULT_RESOURCE
198,End,,2025-01-26 14:38:54.570,2025-01-26 14:38:54.570,Variant 6,6,Event_11w9bbq,Process_1fs5yg9,,
196,Start,,2025-01-25 12:25:00.000,2025-01-25 12:25:00.000,Variant 12,12,Event_0frlo4p,Process_1fs5yg9,,
196,Activity A,cross_trained_employee-000010,2025-01-25 12:25:00.000,2025-01-25 14:14:30.600,Variant 12,12,Activity_1b1ad30,Process_1fs5yg9,27.3775,QBP_DEFAULT_RESOURCE
196,Activity D,cross_trained_employee-000008,2025-01-25 14:14:30.600,2025-01-25 21:08:19.496,Variant 12,12,Activity_1eot9rf,Process_1fs5yg9,103.45373333333333,QBP_DEFAULT_RESOURCE
196,Activity G,cross_trained_employee-000004,2025-01-25 21:08:19.496,2025-01-25 21:38:54.749,Variant 12,12,Activity_0oz9vlx,Process_1fs5yg9,7.646887499999999,QBP_DEFAULT_RESOURCE
196,Activity J,cross_trained_employee-000010,2025-01-25 21:38:54.749,2025-01-26 02:24:08.335,Variant 12,12,Activity_0k8rmwo,Process_1fs5yg9,71.05660833333333,QBP_DEFAULT_RESOURCE
196,End,,2025-01-26 02:24:08.335,2025-01-26 02:24:08.335,Variant 12,12,Event_11w9bbq,Process_1fs5yg9,,
299,Start,,2025-02-07 09:38:00.000,2025-02-07 09:38:00.000,Variant 6,6,Event_0frlo4p,Process_1fs5yg9,,
299,Activity A,cross_trained_employee-000001,2025-02-07 09:38:00.000,2025-02-07 10:26:29.957,Variant 6,6,Activity_1b1ad30,Process_1fs5yg9,12.124820833333333,QBP_DEFAULT_RESOURCE
299,Activity B,cross_trained_employee-000004,2025-02-07 10:26:29.957,2025-02-07 10:53:11.591,Variant 6,6,Activity_0ostlyd,Process_1fs5yg9,6.673475000000001,QBP_DEFAULT_RESOURCE
299,Activity D,cross_trained_employee-000010,2025-02-07 10:53:11.591,2025-02-07 15:38:55.668,Variant 6,6,Activity_1eot9rf,Process_1fs5yg9,71.43365416666667,QBP_DEFAULT_RESOURCE
299,Activity G,cross_trained_employee-000006,2025-02-07 15:38:55.668,2025-02-07 21:37:14.330,Variant 6,6,Activity_0oz9vlx,Process_1fs5yg9,89.57775833333334,QBP_DEFAULT_RESOURCE
299,Activity I,cross_trained_employee-000002,2025-02-07 21:37:14.330,2025-02-08 02:44:18.927,Variant 6,6,Activity_1kt83un,Process_1fs5yg9,76.51915416666667,QBP_DEFAULT_RESOURCE
299,Activity J,cross_trained_employee-000007,2025-02-08 02:44:18.927,2025-02-08 02:49:12.359,Variant 6,6,Activity_0k8rmwo,Process_1fs5yg9,1.2226333333333335,QBP_DEFAULT_RESOURCE
299,End,,2025-02-08 02:49:12.359,2025-02-08 02:49:12.359,Variant 6,6,Event_11w9bbq,Process_1fs5yg9,,
298,Start,,2025-02-07 06:38:00.000,2025-02-07 06:38:00.000,Variant 5,5,Event_0frlo4p,Process_1fs5yg9,,
298,Activity A,cross_trained_employee-000009,2025-02-07 06:38:00.000,2025-02-07 07:59:53.395,Variant 5,5,Activity_1b1ad30,Process_1fs5yg9,20.472479166666666,QBP_DEFAULT_RESOURCE
298,Activity D,cross_trained_employee-000005,2025-02-07 07:59:53.395,2025-02-07 12:01:17.037,Variant 5,5,Activity_1eot9rf,Process_1fs5yg9,60.348508333333335,QBP_DEFAULT_RESOURCE
298,Activity H,cross_trained_employee-000009,2025-02-07 12:01:17.037,2025-02-07 20:45:38.124,Variant 5,5,Activity_1xsbmdj,Process_1fs5yg9,131.0878625,QBP_DEFAULT_RESOURCE
298,Activity I,cross_trained_employee-000003,2025-02-07 20:45:38.124,2025-02-07 20:46:47.793,Variant 5,5,Activity_1kt83un,Process_1fs5yg9,0.2902875,QBP_DEFAULT_RESOURCE
298,Activity J,cross_trained_employee-000004,2025-02-07 20:46:47.793,2025-02-08 00:08:12.674,Variant 5,5,Activity_0k8rmwo,Process_1fs5yg9,50.35367083333333,QBP_DEFAULT_RESOURCE
298,End,,2025-02-08 00:08:12.674,2025-02-08 00:08:12.674,Variant 5,5,Event_11w9bbq,Process_1fs5yg9,,
181,Start,,2025-01-23 15:23:00.000,2025-01-23 15:23:00.000,Variant 6,6,Event_0frlo4p,Process_1fs5yg9,,
181,Activity A,cross_trained_employee-000007,2025-01-23 15:23:00.000,2025-01-23 16:49:47.277,Variant 6,6,Activity_1b1ad30,Process_1fs5yg9,21.6969875,QBP_DEFAULT_RESOURCE
181,Activity B,cross_trained_employee-000005,2025-01-23 16:49:47.277,2025-01-23 17:32:36.507,Variant 6,6,Activity_0ostlyd,Process_1fs5yg9,10.705124999999999,QBP_DEFAULT_RESOURCE
181,Activity D,cross_trained_employee-000007,2025-01-23 17:32:36.507,2025-01-23 18:05:13.427,Variant 6,6,Activity_1eot9rf,Process_1fs5yg9,8.153833333333335,QBP_DEFAULT_RESOURCE
181,Activity G,cross_trained_employee-000001,2025-01-23 18:05:13.427,2025-01-24 01:50:30.292,Variant 6,6,Activity_0oz9vlx,Process_1fs5yg9,116.07027083333334,QBP_DEFAULT_RESOURCE
181,Activity I,cross_trained_employee-000007,2025-01-24 01:50:30.292,2025-01-24 01:56:15.310,Variant 6,6,Activity_1kt83un,Process_1fs5yg9,1.4375749999999998,QBP_DEFAULT_RESOURCE
181,Activity J,cross_trained_employee-000003,2025-01-24 01:56:15.310,2025-01-24 07:58:47.122,Variant 6,6,Activity_0k8rmwo,Process_1fs5yg9,90.63255000000001,QBP_DEFAULT_RESOURCE
181,End,,2025-01-24 07:58:47.122,2025-01-24 07:58:47.122,Variant 6,6,Event_11w9bbq,Process_1fs5yg9,,
26,Start,,2025-01-04 06:04:00.000,2025-01-04 06:04:00.000,Variant 5,5,Event_0frlo4p,Process_1fs5yg9,,
26,Activity A,cross_trained_employee-000004,2025-01-04 06:04:00.000,2025-01-04 20:15:03.436,Variant 5,5,Activity_1b1ad30,Process_1fs5yg9,212.76431666666667,QBP_DEFAULT_RESOURCE
26,Activity D,cross_trained_employee-000006,2025-01-04 20:15:03.436,2025-01-05 01:04:31.571,Variant 5,5,Activity_1eot9rf,Process_1fs5yg9,72.11722916666666,QBP_DEFAULT_RESOURCE
26,Activity H,cross_trained_employee-000008,2025-01-05 01:04:31.571,2025-01-05 01:27:51.439,Variant 5,5,Activity_1xsbmdj,Process_1fs5yg9,5.832783333333333,QBP_DEFAULT_RESOURCE
26,Activity I,cross_trained_employee-000010,2025-01-05 01:27:51.439,2025-01-05 03:12:40.851,Variant 5,5,Activity_1kt83un,Process_1fs5yg9,26.205883333333336,QBP_DEFAULT_RESOURCE
26,Activity J,cross_trained_employee-000001,2025-01-05 03:12:40.851,2025-01-05 05:07:32.767,Variant 5,5,Activity_0k8rmwo,Process_1fs5yg9,28.716316666666668,QBP_DEFAULT_RESOURCE
26,End,,2025-01-05 05:07:32.767,2025-01-05 05:07:32.767,Variant 5,5,Event_11w9bbq,Process_1fs5yg9,,
180,Start,,2025-01-23 12:23:00.000,2025-01-23 12:23:00.000,Variant 6,6,Event_0frlo4p,Process_1fs5yg9,,
180,Activity A,cross_trained_employee-000001,2025-01-23 12:23:00.000,2025-01-23 12:59:53.958,Variant 6,6,Activity_1b1ad30,Process_1fs5yg9,9.224825000000001,QBP_DEFAULT_RESOURCE
180,Activity B,cross_trained_employee-000003,2025-01-23 12:59:53.958,2025-01-23 18:10:23.822,Variant 6,6,Activity_0ostlyd,Process_1fs5yg9,77.62443333333334,QBP_DEFAULT_RESOURCE
180,Activity D,cross_trained_employee-000009,2025-01-23 18:10:23.822,2025-01-24 08:31:22.145,Variant 6,6,Activity_1eot9rf,Process_1fs5yg9,214.9930125,QBP_DEFAULT_RESOURCE
180,Activity G,cross_trained_employee-000001,2025-01-24 08:31:22.145,2025-01-24 10:46:21.366,Variant 6,6,Activity_0oz9vlx,Process_1fs5yg9,33.74675416666666,QBP_DEFAULT_RESOURCE
180,Activity I,cross_trained_employee-000006,2025-01-24 10:46:21.366,2025-01-24 11:49:22.940,Variant 6,6,Activity_1kt83un,Process_1fs5yg9,15.756558333333334,QBP_DEFAULT_RESOURCE
180,Activity J,cross_trained_employee-000002,2025-01-24 11:49:22.940,2025-01-24 12:50:41.473,Variant 6,6,Activity_0k8rmwo,Process_1fs5yg9,15.327220833333332,QBP_DEFAULT_RESOURCE
180,End,,2025-01-24 12:50:41.473,2025-01-24 12:50:41.473,Variant 6,6,Event_11w9bbq,Process_1fs5yg9,,
184,Start,,2025-01-24 00:23:00.000,2025-01-24 00:23:00.000,Variant 11,11,Event_0frlo4p,Process_1fs5yg9,,
184,Activity A,cross_trained_employee-000006,2025-01-24 00:23:00.000,2025-01-24 04:52:43.926,Variant 11,11,Activity_1b1ad30,Process_1fs5yg9,67.183025,QBP_DEFAULT_RESOURCE
184,Activity B,cross_trained_employee-000001,2025-01-24 04:52:43.926,2025-01-24 04:53:55.656,Variant 11,11,Activity_0ostlyd,Process_1fs5yg9,0.298875,QBP_DEFAULT_RESOURCE
184,Activity D,cross_trained_employee-000007,2025-01-24 04:53:55.656,2025-01-24 07:35:22.262,Variant 11,11,Activity_1eot9rf,Process_1fs5yg9,40.36085833333333,QBP_DEFAULT_RESOURCE
184,Activity H,cross_trained_employee-000002,2025-01-24 07:35:22.262,2025-01-24 08:22:09.034,Variant 11,11,Activity_1xsbmdj,Process_1fs5yg9,11.694883333333333,QBP_DEFAULT_RESOURCE
184,Activity J,cross_trained_employee-000006,2025-01-24 08:22:09.034,2025-01-24 09:57:30.202,Variant 11,11,Activity_0k8rmwo,Process_1fs5yg9,23.838199999999997,QBP_DEFAULT_RESOURCE
184,End,,2025-01-24 09:57:30.202,2025-01-24 09:57:30.202,Variant 11,11,Event_11w9bbq,Process_1fs5yg9,,
27,Start,,2025-01-04 09:04:00.000,2025-01-04 09:04:00.000,Variant 1,1,Event_0frlo4p,Process_1fs5yg9,,
27,Activity A,cross_trained_employee-000005,2025-01-04 09:04:00.000,2025-01-04 10:32:19.498,Variant 1,1,Activity_1b1ad30,Process_1fs5yg9,22.081241666666667,QBP_DEFAULT_RESOURCE
27,Activity B,cross_trained_employee-000008,2025-01-04 10:32:19.498,2025-01-04 12:08:01.368,Variant 1,1,Activity_0ostlyd,Process_1fs5yg9,23.924458333333334,QBP_DEFAULT_RESOURCE
27,Activity C,cross_trained_employee-000009,2025-01-04 12:08:01.368,2025-01-04 13:17:59.735,Variant 1,1,Activity_1swvhdt,Process_1fs5yg9,17.493195833333335,QBP_DEFAULT_RESOURCE
27,Activity E,cross_trained_employee-000006,2025-01-04 13:17:59.735,2025-01-04 17:35:12.374,Variant 1,1,Activity_0fxu22k,Process_1fs5yg9,64.3026625,QBP_DEFAULT_RESOURCE
27,Activity F,cross_trained_employee-000008,2025-01-04 13:17:59.735,2025-01-04 15:40:20.954,Variant 1,1,Activity_1i0xxsy,Process_1fs5yg9,35.5884125,QBP_DEFAULT_RESOURCE
27,Activity J,cross_trained_employee-000003,2025-01-04 17:35:12.374,2025-01-04 19:40:30.538,Variant 1,1,Activity_0k8rmwo,Process_1fs5yg9,31.32568333333333,QBP_DEFAULT_RESOURCE
27,End,,2025-01-04 19:40:30.538,2025-01-04 19:40:30.538,Variant 1,1,Event_11w9bbq,Process_1fs5yg9,,
30,Start,,2025-01-04 18:04:00.000,2025-01-04 18:04:00.000,Variant 7,7,Event_0frlo4p,Process_1fs5yg9,,
30,Activity A,cross_trained_employee-000010,2025-01-04 18:04:00.000,2025-01-04 23:00:07.251,Variant 7,7,Activity_1b1ad30,Process_1fs5yg9,74.0302125,QBP_DEFAULT_RESOURCE
30,Activity D,cross_trained_employee-000003,2025-01-04 23:00:07.251,2025-01-05 02:33:14.753,Variant 7,7,Activity_1eot9rf,Process_1fs5yg9,53.031258333333334,QBP_DEFAULT_RESOURCE
30,Activity G,cross_trained_employee-000004,2025-01-05 02:33:14.753,2025-01-05 04:49:46.671,Variant 7,7,Activity_0oz9vlx,Process_1fs5yg9,34.13299166666666,QBP_DEFAULT_RESOURCE
30,Activity I,cross_trained_employee-000009,2025-01-05 04:49:46.671,2025-01-05 08:53:19.254,Variant 7,7,Activity_1kt83un,Process_1fs5yg9,60.8857625,QBP_DEFAULT_RESOURCE
30,Activity J,cross_trained_employee-000010,2025-01-05 08:53:19.254,2025-01-05 10:55:43.919,Variant 7,7,Activity_0k8rmwo,Process_1fs5yg9,30.602770833333334,QBP_DEFAULT_RESOURCE
30,End,,2025-01-05 10:55:43.919,2025-01-05 10:55:43.919,Variant 7,7,Event_11w9bbq,Process_1fs5yg9,,
288,Start,,2025-02-06 00:36:00.000,2025-02-06 00:36:00.000,Variant 1,1,Event_0frlo4p,Process_1fs5yg9,,
288,Activity A,cross_trained_employee-000001,2025-02-06 00:36:00.000,2025-02-06 01:55:08.093,Variant 1,1,Activity_1b1ad30,Process_1fs5yg9,19.533720833333334,QBP_DEFAULT_RESOURCE
288,Activity B,cross_trained_employee-000006,2025-02-06 01:55:08.093,2025-02-06 02:56:38.859,Variant 1,1,Activity_0ostlyd,Process_1fs5yg9,15.378191666666666,QBP_DEFAULT_RESOURCE
288,Activity C,cross_trained_employee-000001,2025-02-06 02:56:38.859,2025-02-06 03:18:39.664,Variant 1,1,Activity_1swvhdt,Process_1fs5yg9,5.503354166666667,QBP_DEFAULT_RESOURCE
288,Activity E,cross_trained_employee-000008,2025-02-06 03:18:39.664,2025-02-06 05:03:15.160,Variant 1,1,Activity_0fxu22k,Process_1fs5yg9,26.1479,QBP_DEFAULT_RESOURCE
288,Activity F,cross_trained_employee-000006,2025-02-06 03:18:39.664,2025-02-06 04:34:54.903,Variant 1,1,Activity_1i0xxsy,Process_1fs5yg9,19.06349583333333,QBP_DEFAULT_RESOURCE
288,Activity J,cross_trained_employee-000006,2025-02-06 05:03:15.160,2025-02-06 06:38:59.178,Variant 1,1,Activity_0k8rmwo,Process_1fs5yg9,23.933408333333336,QBP_DEFAULT_RESOURCE
288,End,,2025-02-06 06:38:59.178,2025-02-06 06:38:59.178,Variant 1,1,Event_11w9bbq,Process_1fs5yg9,,
37,Start,,2025-01-05 15:05:00.000,2025-01-05 15:05:00.000,Variant 5,5,Event_0frlo4p,Process_1fs5yg9,,
37,Activity A,cross_trained_employee-000004,2025-01-05 15:05:00.000,2025-01-05 15:11:52.934,Variant 5,5,Activity_1b1ad30,Process_1fs5yg9,1.7205583333333334,QBP_DEFAULT_RESOURCE
37,Activity D,cross_trained_employee-000003,2025-01-05 15:11:52.934,2025-01-05 17:25:18.704,Variant 5,5,Activity_1eot9rf,Process_1fs5yg9,33.357375,QBP_DEFAULT_RESOURCE
37,Activity H,cross_trained_employee-000005,2025-01-05 17:25:18.704,2025-01-05 18:33:28.943,Variant 5,5,Activity_1xsbmdj,Process_1fs5yg9,17.0426625,QBP_DEFAULT_RESOURCE
37,Activity I,cross_trained_employee-000004,2025-01-05 18:33:28.943,2025-01-05 20:55:06.553,Variant 5,5,Activity_1kt83un,Process_1fs5yg9,35.406708333333334,QBP_DEFAULT_RESOURCE
37,Activity J,cross_trained_employee-000007,2025-01-05 20:55:06.553,2025-01-05 20:56:08.391,Variant 5,5,Activity_0k8rmwo,Process_1fs5yg9,0.2576583333333333,QBP_DEFAULT_RESOURCE
37,End,,2025-01-05 20:56:08.391,2025-01-05 20:56:08.391,Variant 5,5,Event_11w9bbq,Process_1fs5yg9,,
38,Start,,2025-01-05 18:05:00.000,2025-01-05 18:05:00.000,Variant 4,4,Event_0frlo4p,Process_1fs5yg9,,
38,Activity A,cross_trained_employee-000009,2025-01-05 18:05:00.000,2025-01-05 22:20:42.486,Variant 4,4,Activity_1b1ad30,Process_1fs5yg9,63.927025,QBP_DEFAULT_RESOURCE
38,Activity C,cross_trained_employee-000002,2025-01-05 22:20:42.486,2025-01-06 04:36:32.395,Variant 4,4,Activity_1swvhdt,Process_1fs5yg9,93.70795416666667,QBP_DEFAULT_RESOURCE
38,Activity E,cross_trained_employee-000009,2025-01-06 04:36:32.395,2025-01-06 07:03:50.870,Variant 4,4,Activity_0fxu22k,Process_1fs5yg9,36.82697916666667,QBP_DEFAULT_RESOURCE
38,Activity F,cross_trained_employee-000006,2025-01-06 04:36:32.395,2025-01-06 14:26:27.811,Variant 4,4,Activity_1i0xxsy,Process_1fs5yg9,147.4809,QBP_DEFAULT_RESOURCE
38,Activity J,cross_trained_employee-000007,2025-01-06 14:26:27.811,2025-01-06 15:47:22.337,Variant 4,4,Activity_0k8rmwo,Process_1fs5yg9,20.227191666666666,QBP_DEFAULT_RESOURCE
38,End,,2025-01-06 15:47:22.337,2025-01-06 15:47:22.337,Variant 4,4,Event_11w9bbq,Process_1fs5yg9,,
16,Start,,2025-01-03 00:02:00.000,2025-01-03 00:02:00.000,Variant 8,8,Event_0frlo4p,Process_1fs5yg9,,
16,Activity A,cross_trained_employee-000007,2025-01-03 00:02:00.000,2025-01-03 01:07:51.504,Variant 8,8,Activity_1b1ad30,Process_1fs5yg9,16.2146,QBP_DEFAULT_RESOURCE
16,Activity B,cross_trained_employee-000010,2025-01-03 01:07:51.504,2025-01-03 04:23:56.691,Variant 8,8,Activity_0ostlyd,Process_1fs5yg9,49.021612499999996,QBP_DEFAULT_RESOURCE
16,Activity D,cross_trained_employee-000001,2025-01-03 04:23:56.691,2025-01-03 05:10:04.719,Variant 8,8,Activity_1eot9rf,Process_1fs5yg9,11.53345,QBP_DEFAULT_RESOURCE
16,Activity G,cross_trained_employee-000004,2025-01-03 05:10:04.719,2025-01-03 06:07:07.579,Variant 8,8,Activity_0oz9vlx,Process_1fs5yg9,14.261916666666668,QBP_DEFAULT_RESOURCE
16,Activity J,cross_trained_employee-000010,2025-01-03 06:07:07.579,2025-01-03 07:04:02.202,Variant 8,8,Activity_0k8rmwo,Process_1fs5yg9,14.227595833333334,QBP_DEFAULT_RESOURCE
16,End,,2025-01-03 07:04:02.202,2025-01-03 07:04:02.202,Variant 8,8,Event_11w9bbq,Process_1fs5yg9,,
289,Start,,2025-02-06 03:37:00.000,2025-02-06 03:37:00.000,Variant 6,6,Event_0frlo4p,Process_1fs5yg9,,
289,Activity A,cross_trained_employee-000010,2025-02-06 03:37:00.000,2025-02-06 04:30:57.865,Variant 6,6,Activity_1b1ad30,Process_1fs5yg9,13.491104166666666,QBP_DEFAULT_RESOURCE
289,Activity B,cross_trained_employee-000005,2025-02-06 04:30:57.865,2025-02-06 12:59:59.182,Variant 6,6,Activity_0ostlyd,Process_1fs5yg9,127.2554875,QBP_DEFAULT_RESOURCE
289,Activity D,cross_trained_employee-000007,2025-02-06 12:59:59.182,2025-02-06 13:48:59.025,Variant 6,6,Activity_1eot9rf,Process_1fs5yg9,12.249345833333333,QBP_DEFAULT_RESOURCE
289,Activity G,cross_trained_employee-000010,2025-02-06 13:48:59.025,2025-02-06 16:11:38.049,Variant 6,6,Activity_0oz9vlx,Process_1fs5yg9,35.6626,QBP_DEFAULT_RESOURCE
289,Activity I,cross_trained_employee-000007,2025-02-06 16:11:38.049,2025-02-06 16:24:59.092,Variant 6,6,Activity_1kt83un,Process_1fs5yg9,3.3376791666666668,QBP_DEFAULT_RESOURCE
289,Activity J,cross_trained_employee-000009,2025-02-06 16:24:59.092,2025-02-06 20:58:31.049,Variant 6,6,Activity_0k8rmwo,Process_1fs5yg9,68.38315416666666,QBP_DEFAULT_RESOURCE
289,End,,2025-02-06 20:58:31.049,2025-02-06 20:58:31.049,Variant 6,6,Event_11w9bbq,Process_1fs5yg9,,
17,Start,,2025-01-03 03:03:00.000,2025-01-03 03:03:00.000,Variant 4,4,Event_0frlo4p,Process_1fs5yg9,,
17,Activity A,cross_trained_employee-000007,2025-01-03 03:03:00.000,2025-01-03 04:00:02.879,Variant 4,4,Activity_1b1ad30,Process_1fs5yg9,14.261995833333332,QBP_DEFAULT_RESOURCE
17,Activity C,cross_trained_employee-000002,2025-01-03 04:00:02.879,2025-01-03 07:17:43.966,Variant 4,4,Activity_1swvhdt,Process_1fs5yg9,49.42119583333333,QBP_DEFAULT_RESOURCE
17,Activity E,cross_trained_employee-000005,2025-01-03 07:17:43.966,2025-01-03 07:22:51.611,Variant 4,4,Activity_0fxu22k,Process_1fs5yg9,1.2818541666666665,QBP_DEFAULT_RESOURCE
17,Activity F,cross_trained_employee-000001,2025-01-03 07:17:43.966,2025-01-03 10:24:15.857,Variant 4,4,Activity_1i0xxsy,Process_1fs5yg9,46.63287916666666,QBP_DEFAULT_RESOURCE
17,Activity J,cross_trained_employee-000005,2025-01-03 10:24:15.857,2025-01-03 12:11:07.001,Variant 4,4,Activity_0k8rmwo,Process_1fs5yg9,26.7131,QBP_DEFAULT_RESOURCE
17,End,,2025-01-03 12:11:07.001,2025-01-03 12:11:07.001,Variant 4,4,Event_11w9bbq,Process_1fs5yg9,,
189,Start,,2025-01-24 15:24:00.000,2025-01-24 15:24:00.000,Variant 1,1,Event_0frlo4p,Process_1fs5yg9,,
189,Activity A,cross_trained_employee-000009,2025-01-24 15:24:00.000,2025-01-24 16:29:20.875,Variant 1,1,Activity_1b1ad30,Process_1fs5yg9,16.336979166666666,QBP_DEFAULT_RESOURCE
189,Activity B,cross_trained_employee-000002,2025-01-24 16:29:20.875,2025-01-24 20:43:02.737,Variant 1,1,Activity_0ostlyd,Process_1fs5yg9,63.424425,QBP_DEFAULT_RESOURCE
